Aashish Auto Components, Chennai
ALS Global, Bangalore
Ambaavin, Chennai
Annai Engineering, Chennai
AWIN, Chennai
Borgwarnder Mooring Systems, Thiruvallur
Chennai Auto Ancillary, Chennai
Cross Manufacturing, Chennai
CyMyUTech Anand, Chengalpet
East African Glass Mart, Kenya
Eswari Engineering, Chennai
Five Star, Chennai
General Connectors, Kadalur
Gokul Auto Tech, Chennai
Good Rich Gaskets, Kancheepuram
KKR Auto Components, Chennai
KR Autocomponents, Chengalpet
Lumiere Tech Pvt Ltd, Bangalore
Master Linen, Karur
Maya Appliances, Chennai
MK AutoComponents, Chennai
NADI Systems, Kancheepuram
Pacific Tools, Thiruvallur
Propel Industries, Coimbator
Prakash Plastics, Hosur
Rambal-TVS Group, Kancheepuram
Rams Engineering, Chennai
Reynold Systems, Chennai
Rivit India Pvt Ltd, Chennai, Italay
SMRC AutoComponents, Pune
SP Industry, Chengalpet
SRP Industries, Chennai
Teknowvate, Chengalpet
Teknoweld, Chengalpet
TMTE Donrack, Chennai
Touch Stone Pvt Ltd, Chennai
Uma Engineering, Kancheepuram
RJ Auto, Chennai
Visible Auto Components, Chennai
Zigma Technologies (India) Pvt Ltd


